X,Y,OBJECTID,NRO,NroOACI,NOMBRE,PROVINCIA,LAT,LON,ALTURA,LATG,LATM,LONG,LONM
-64.2666666665375,-31.4500000003232,48,87347,SACE,ESC.AVIACION MILITAR AERO,CORDOBA,-31.45,-64.26666667,502,-31,27,-64,16
-63.3666666666628,-34.1333333336746,49,87534,SAOL,LABOULAYE AERO,CORDOBA,-34.13333333,-63.36666667,137,-34,8,-63,22
-62.1499999999825,-32.69999999994,50,87467,SAOM,MARCOS JUAREZ AERO,CORDOBA,-32.7,-62.15,114,-32,42,-62,9
-63.8833333329414,-31.6666666664116,51,87349,SACI,PILAR OBS.,CORDOBA,-31.66666667,-63.88333333,338,-31,40,-63,53
-64.2333333331422,-33.1166666667209,52,87453,SAOC,RIO CUARTO AERO,CORDOBA,-33.11666667,-64.23333333,421,-33,7,-64,14
-65.1333333330169,-31.9500000002053,53,87328,SAOD,VILLA DOLORES AERO,CORDOBA,-31.95,-65.13333333,566,-31,57,-65,8
-63.6833333334683,-29.8999999996136,54,87244,SACV,VILLA MARIA DEL RIO SECO,CORDOBA,-29.9,-63.68333333,341,-29,54,-63,41
-58.7666666671035,-27.449999999801,55,87166,SARC,CORRIENTES AERO,CORRIENTES,-27.45,-58.76666667,62,-27,27,-58,46
-56.6666666667969,-27.5833333332506,56,87173,SARO,ITUZAINGO,CORRIENTES,-27.58333333,-56.66666667,72,-27,35,-56,40
-58.1000000000971,-29.2166666665646,57,87281,SATM,MERCEDES AERO (CTES),CORRIENTES,-29.21666667,-58.1,107,-29,13,-58,6
-57.6499999997106,-30.266666667011,58,87393,SARM,MONTE CASEROS AERO,CORRIENTES,-30.26666667,-57.65,54,-30,16,-57,39
-57.1499999996803,-29.6833333330096,59,87289,SARL,PASO DE LOS LIBRES AERO,CORRIENTES,-29.68333333,-57.15,70,-29,41,-57,9
-58.0166666670581,-31.300000000022,60,87395,SAAC,CONCORDIA AERO,ENTRE RIOS,-31.3,-58.01666667,38,-31,18,-58,1
-58.6166666663757,-33.000000000046,61,87497,SAAG,GUALEGUAYCHU AERO,ENTRE RIOS,-33,-58.61666667,23,-33,0,-58,37
-60.4833333329157,-31.7833333330258,62,87374,SAAP,PARANA AERO,ENTRE RIOS,-31.78333333,-60.48333333,78,-31,47,-60,29
-58.233333333678,-26.199999999765,63,87162,SARF,FORMOSA AERO,FORMOSA,-26.2,-58.23333333,60,-26,12,-58,14
-60.5833333331013,-24.7000000002884,64,87078,SATK,LAS LOMITAS,FORMOSA,-24.7,-60.58333333,130,-24,42,-60,35
-65.0833333333733,-24.3833333332055,65,87046,SASJ,JUJUY AERO,JUJUY,-24.38333333,-65.08333333,905,-24,23,-65,5
-65.183333333559,-24.1666666667938,66,87043,,JUJUY U N,JUJUY,-24.16666667,-65.18333333,1302,-24,10,-65,11
-65.5999999996519,-22.0999999999168,67,87007,SASQ,LA QUIACA OBS.,JUJUY,-22.1,-65.6,3459,-22,6,-65,36
-63.7500000002588,-35.6999999996504,68,87532,SAZG,GENERAL PICO AERO,LA PAMPA,-35.7,-63.75,145,-35,42,-63,45
-64.2666666665375,-36.5666666668592,69,87623,SAZR,SANTA ROSA AERO,LA PAMPA,-36.56666667,-64.26666667,191,-36,34,-64,16
-65.4333333335741,-36.2166666663624,70,87616,SAHV,VICTORICA,LA PAMPA,-36.21666667,-65.43333333,312,-36,13,-65,26
-66.2833333329068,-30.3666666668035,71,87320,SACT,CHAMICAL AERO,LA RIOJA,-30.36666667,-66.28333333,461,-30,22,-66,17
-66.5999999997124,-31.3333333330367,72,87322,SACP,CHEPES,LA RIOJA,-31.33333333,-66.6,658,-31,20,-66,36
-67.4333333336949,-29.2333333334488,73,87213,SANO,CHILECITO AERO,LA RIOJA,-29.23333333,-67.43333333,947,-29,14,-67,26
-66.8166666663322,-29.3833333331733,74,87217,SANL,LA RIOJA AERO,LA RIOJA,-29.38333333,-66.81666667,429,-29,23,-66,49
-69.5833333336452,-35.5000000000083,75,87506,SAMM,MALARGUE AERO,MENDOZA,-35.5,-69.58333333,1425,-35,30,-69,35
-68.7833333330578,-32.833333333011,76,87418,SAME,MENDOZA AERO,MENDOZA,-32.83333333,-68.78333333,704,-32,50,-68,47
-68.8499999998483,-32.8833333330876,77,87420,SAMK,MENDOZA OBSERVATORIO,MENDOZA,-32.88333333,-68.85,827,-32,53,-68,51
-69.0333333330729,-33.7666666669997,78,87412,SAMS,SAN CARLOS (MZA),MENDOZA,-33.76666667,-69.03333333,940,-33,46,-69,2
-68.4166666666086,-33.0833333336908,79,87416,SAMI,SAN MARTIN (MZA),MENDOZA,-33.08333333,-68.41666667,653,-33,5,-68,25
-68.4000000003601,-34.5833333330266,80,87509,SAMR,SAN RAFAEL AERO,MENDOZA,-34.58333333,-68.4,748,-34,35,-68,24
-69.3333333336301,-32.6000000002564,81,87405,SAMU,USPALLATA,MENDOZA,-32.6,-69.33333333,1891,-32,36,-69,20
-53.6500000003672,-26.2500000000244,82,87163,SATI,BERNARDO DE IRIGOYEN AERO,MISIONES,-26.25,-53.65,815,-26,15,-53,39
-54.4666666663046,-25.7333333335043,83,87097,SARI,IGUAZU AERO,MISIONES,-25.73333333,-54.46666667,270,-25,44,-54,28
-55.133333333311,-27.4833333329457,84,87187,SATO,OBERA AERO,MISIONES,-27.48333333,-55.13333333,303,-27,29,-55,8
-55.9666666663953,-27.3666666668724,85,87178,SARP,POSADAS AERO,MISIONES,-27.36666667,-55.96666667,125,-27,22,-55,58
-71.1333333333795,-40.0833333333265,86,87761,SAZY,CHAPELCO AERO,NEUQUEN,-40.08333333,-71.13333333,779,-40,5,-71,8
-68.1333333331982,-38.9499999999456,87,87715,SAZN,NEUQUEN AERO,NEUQUEN,-38.95,-68.13333333,271,-38,57,-68,8
-71.1666666667747,-41.150000000196,88,87765,SAZS,BARILOCHE AERO,RIO NEGRO,-41.15,-71.16666667,840,-41,9,-71,10
-67.9666666662221,-38.9499999999456,89,87719,SAHI,CIPOLLETTI,RIO NEGRO,-38.95,-67.96666667,265,-38,57,-67,58
-71.5166666669756,-41.9666666664479,90,87800,SAVB,EL BOLSON AERO,RIO NEGRO,-41.96666667,-71.51666667,337,-41,58,-71,31
-68.7333333334142,-41.2499999998446,91,87774,SAVQ,MAQUINCHAO,RIO NEGRO,-41.25,-68.73333333,888,-41,15,-68,44
-64.0833333333128,-39.0166666664505,92,87736,SAZQ,RIO COLORADO,RIO NEGRO,-39.01666667,-64.08333333,79,-39,1,-64,5
-65.0999999996217,-40.7833333333463,93,87784,SAVN,SAN ANTONIO OESTE AERO,RIO NEGRO,-40.78333333,-65.1,20,-40,47,-65,6
-63.0166666664619,-40.8499999998944,94,87791,SAVV,VIEDMA AERO,RIO NEGRO,-40.85,-63.01666667,7,-40,51,-63,1
-64.7999999999629,-25.4833333331138,95,87050,SASM,METAN,SALTA,-25.48333333,-64.8,855,-25,29,-64,48
-64.3166666670795,-23.1499999997078,96,87016,SASO,ORAN AERO,SALTA,-23.15,-64.31666667,357,-23,9,-64,19
-62.9000000000278,-24.1666666667938,97,87065,SASR,RIVADAVIA,SALTA,-24.16666667,-62.9,205,-24,10,-62,54
-65.4833333332178,-24.850000000192,98,87047,SASA,SALTA AERO,SALTA,-24.85,-65.48333333,1221,-24,51,-65,29
-63.8166666670493,-22.6500000003069,99,87022,SAST,TARTAGAL AERO,SALTA,-22.65,-63.81666667,450,-22,39,-63,49
-68.7499999996626,-30.2333333333838,100,87305,SAMJ,JACHAL,SAN JUAN,-30.23333333,-68.75,1175,-30,14,-68,45
-68.4166666666086,-31.5666666666656,101,87311,SANU,SAN JUAN AERO,SAN JUAN,-31.56666667,-68.41666667,598,-31,34,-68,25
-66.3499999996973,-33.2666666663076,102,87436,SAOU,SAN LUIS AERO,SAN LUIS,-33.26666667,-66.35,713,-33,16,-66,21
-65.183333333559,-32.3833333330589,103,87444,SAOS,SANTA ROSA DE CONLARA AERO,SAN LUIS,-32.38333333,-65.18333333,620,-32,23,-65,11
-65.3833333330321,-33.7333333333636,104,87448,SAOR,VILLA REYNOLDS AERO,SAN LUIS,-33.73333333,-65.38333333,486,-33,44,-65,23
-72.050000000401,-50.2666666668771,105,87904,SAWC,EL CALAFATE AERO,SANTA CRUZ,-50.26666667,-72.05,204,-50,16,-72,3
-70.1666666667143,-48.7833333332308,106,87880,SAWR,GOBERNADOR GREGORES AERO,SANTA CRUZ,-48.78333333,-70.16666667,358,-48,47,-70,10
-71.0166666669453,-46.5166666668109,107,87852,SAWP,PERITO MORENO AERO,SANTA CRUZ,-46.51666667,-71.01666667,429,-46,31,-71,1
-65.9166666664575,-47.733333333136,108,87896,SAWD,PUERTO DESEADO AERO,SANTA CRUZ,-47.73333333,-65.91666667,80,-47,44,-65,55
-69.2833333330881,-51.6166666667383,109,87925,SAWG,RIO GALLEGOS AERO,SANTA CRUZ,-51.61666667,-69.28333333,19,-51,37,-69,17
-67.7833333329974,-49.316666666855,110,87909,SAWJ,SAN JULIAN AERO,SANTA CRUZ,-49.31666667,-67.78333333,62,-49,19,-67,47
-68.566666666438,-50.016666666383,111,87912,SAWU,SANTA CRUZ AERO,SANTA CRUZ,-50.01666667,-68.56666667,111,-50,1,-68,34
-61.9499999996111,-29.8833333330915,112,87257,SANW,CERES AERO,SANTA FE,-29.88333333,-61.95,88,-29,53,-61,57
-61.666666667099,-32.1999999999789,113,87470,SAFT,EL TREBOL,SANTA FE,-32.2,-61.66666667,96,-32,12,-61,40
-61.5000000001228,-31.2666666668469,114,87360,SAFR,RAFAELA AERO,SANTA FE,-31.26666667,-61.5,99,-31,16,-61,30
-59.7000000003734,-29.1833333336991,115,87270,SATR,RECONQUISTA AERO,SANTA FE,-29.18333333,-59.7,53,-29,11,-59,42
-60.7833333334728,-32.9166666663564,116,87480,SAAR,ROSARIO AERO,SANTA FE,-32.91666667,-60.78333333,25,-32,55,-60,47
-60.816666666868,-31.7000000000375,117,87371,SAAV,SAUCE VIEJO AERO,SANTA FE,-31.7,-60.81666667,18,-31,42,-60,49
-61.3333333331467,-30.9666666663751,118,87356,SAFS,SUNCHALES AERO,SANTA FE,-30.96666667,-61.33333333,92,-30,58,-61,20
-61.9666666667578,-33.6666666668867,119,87468,SAFV,VENADO TUERTO,SANTA FE,-33.66666667,-61.96666667,112,-33,40,-61,58
-64.2999999999327,-27.7666666664055,120,87129,SANE,SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ESTERO,-27.76666667,-64.3,199,-27,46,-64,18
-64.9333333335439,-27.4833333329457,121,87127,SANR,TERMAS DE RIO HONDO AERO,SANTIAGO DEL ESTERO,-27.48333333,-64.93333333,280,-27,29,-64,56
-67.7499999996022,-53.8000000000239,122,87934,SAWE,RIO GRANDE B.A.,TIERRA DEL FUEGO,-53.8,-67.75,22,-53,48,-67,45
-68.3166666664229,-54.8000000001205,123,87938,SAWH,USHUAIA AERO,TIERRA DEL FUEGO,-54.8,-68.31666667,57,-54,48,-68,19
-65.0999999996217,-26.8499999996131,124,87121,SANT,TUCUMAN AERO,TUCUMAN,-26.85,-65.1,450,-26,51,-65,6
